piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
103_Chorale_13_Bass_7	1: 4/4	1: 1	23	23	92.0	23	23	92.0	164.0	77	41	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 13, Bass 7						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/103_Chorale_13_Bass_7.mscx	False	43-76 (G2-E5)	mxl	Piano	67-76 (G4-E5)	Piano	43-59 (G2-B3)
104_Chorale_13_Bass_8	1: 4/4	1: 1	23	23	92.0	23	23	92.0	160.0	81	46	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 13, Bass 8						2025-01-31	Linux					"<font size=""15""/><b>Chorale 13, Bass 8</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/104_Chorale_13_Bass_8.mscx	False	43-76 (G2-E5)	mxl	Piano	67-76 (G4-E5)	Piano	43-58 (G2-Bb3)
105_Chorale_14_Bass_1	1: 4/4	1: 0	27	27	108.0	36	36	144.0	192.0	84	42	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 14, Bass 1						2025-01-31	Linux					"<font size=""15""/><b>Chorale 14, Bass 1</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/105_Chorale_14_Bass_1.mscx	False	36-76 (C2-E5)	mxl	Piano	60-76 (C4-E5)	Piano	36-60 (C2-C4)
106_Chorale_14_Bass_2	1: 4/4	1: 0	27	27	108.0	36	36	144.0	192.0	86	45	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 14, Bass 2						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/106_Chorale_14_Bass_2.mscx	False	41-76 (F2-E5)	mxl	Piano	60-76 (C4-E5)	Piano	41-55 (F2-G3)
107_Chorale_14_Bass_3	1: 4/4	1: 0	27	27	108.0	36	36	144.0	192.0	82	44	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 14, Bass 3						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/107_Chorale_14_Bass_3.mscx	False	42-76 (F#2-E5)	mxl	Piano	60-76 (C4-E5)	Piano	42-57 (F#2-A3)
108_Chorale_14_Bass_4	1: 4/4	1: 0	27	27	108.0	36	36	144.0	192.0	84	48	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 14, Bass 4						2025-01-31	Linux					"<font size=""15""/><b>Chorale 14, Bass 4</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/108_Chorale_14_Bass_4.mscx	False	36-76 (C2-E5)	mxl	Piano	60-76 (C4-E5)	Piano	36-60 (C2-C4)
109_Chorale_14_Bass_5	1: 4/4	1: 0	27	27	108.0	36	36	144.0	192.0	91	50	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 14, Bass 5						2025-01-31	Linux					"<font size=""15""/><b>Chorale 14, Bass 5</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/109_Chorale_14_Bass_5.mscx	False	36-76 (C2-E5)	mxl	Piano	60-76 (C4-E5)	Piano	36-60 (C2-C4)
10_Chorale_2_Bass_2	1: 4/4	1: 1	27	27	108.0	38	38	152.0	196.0	93	49	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 2, Bass 2						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/10_Chorale_2_Bass_2.mscx	False	38-74 (D2-D5)	mxl	Piano	64-74 (E4-D5)	Piano	38-55 (D2-G3)
110_Chorale_14_Bass_6	1: 4/4	1: 0	28	28	112.0	37	37	148.0	196.0	91	50	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 14, Bass 6						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/110_Chorale_14_Bass_6.mscx	False	36-76 (C2-E5)	mxl	Piano	60-76 (C4-E5)	Piano	36-57 (C2-A3)
111_Chorale_14_Bass_7	1: 4/4	1: 0	27	27	108.0	36	36	144.0	192.0	85	43	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 14, Bass 7						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/111_Chorale_14_Bass_7.mscx	False	36-76 (C2-E5)	mxl	Piano	60-76 (C4-E5)	Piano	36-57 (C2-A3)
