mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		5	59	B3	3	1
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		1	67	G4	4	0
2	2	4	4	2.0	0	0	4/4	2	1	1/2		1/2	1		3	57	A3	3	4
2	2	4	4	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	2
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		1	55	G3	3	5
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	3
3	3	8	8	2.0	0	0	4/4	2	1	1/2		1/2	1		6	54	F#3	3	8
3	3	8	8	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	6
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		-1	53	F3	3	9
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	7
4	4	12	12	2.0	0	0	4/4	2	1	1/2		1/2	1		4	52	E3	3	13
4	4	12	12	2.0	0	0	4/4	1	1	1/2		1/2	1		4	76	E5	5	10
4	4	14	14	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		6	54	F#3	3	14
4	4	14	14	1.0	1/2	1/2	4/4	1	1	1/4		1/4	1		2	74	D5	5	11
4	4	15	15	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		0	72	C5	5	12
5	5	16	16	4.0	0	0	4/4	2	1	1		1	1		1	55	G3	3	16
5	5	16	16	4.0	0	0	4/4	1	1	1		1	1		5	71	B4	4	15
6	6	22	22	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1	1	2	50	D3	3	18
6	6	22	22	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	17
7	7	24	24	1.0	0	0	4/4	2	1	1/4		1/4	1	-1	2	50	D3	3	22
7	7	24	24	1.0	0	0	4/4	1	1	1/4		1/4	1		5	71	B4	4	19
7	7	25	25	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		4	52	E3	3	23
7	7	25	25	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		7	73	C#5	5	20
7	7	26	26	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		6	54	F#3	3	24
7	7	26	26	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	21
7	7	27	27	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		2	50	D3	3	25
8	8	28	28	1.0	0	0	4/4	2	1	1/4		1/4	1		1	55	G3	3	28
8	8	28	28	2.0	0	0	4/4	1	1	1/2		1/2	1		4	76	E5	5	26
8	8	29	29	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		4	52	E3	3	29
8	8	30	30	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	57	A3	3	30
8	8	30	30	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	76	E5	5	27
9	9	32	32	4.0	0	0	4/4	2	1	1		1	1		2	50	D3	3	32
9	9	32	32	4.0	0	0	4/4	1	1	1		1	1		2	74	D5	5	31
10	10	38	38	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		2	50	D3	3	34
10	10	38	38	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	33
11	11	40	40	2.0	0	0	4/4	2	1	1/2		1/2	1		4	52	E3	3	37
11	11	40	40	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	35
11	11	42	42	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		5	47	B2	2	38
11	11	42	42	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	36
11	11	43	43	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		0	48	C3	3	39
12	12	44	44	2.0	0	0	4/4	2	1	1/2		1/2	1		2	50	D3	3	44
12	12	44	44	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	40
12	12	46	46	0.0	1/2	1/2	4/4	1	1	0	grace4	1/4	1		0	72	C5	5	41
12	12	46	46	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		4	52	E3	3	45
12	12	46	46	1.0	1/2	1/2	4/4	1	1	1/4		1/4	1		5	71	B4	4	42
12	12	47	47	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		0	72	C5	5	43
13	13	48	48	2.0	0	0	4/4	2	1	1/2		1/2	1		6	54	F#3	3	49
13	13	48	48	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	46
13	13	50	50	0.0	1/2	1/2	4/4	1	1	0	grace4	1/4	1		0	72	C5	5	47
13	13	50	50	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		1	55	G3	3	50
13	13	50	50	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	48
14	14	52	52	4.0	0	0	4/4	2	1	1		1	1		2	50	D3	3	52
14	14	52	52	4.0	0	0	4/4	1	1	1		1	1		3	69	A4	4	51
15	15	58	58	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		8	44	G#2	2	54
15	15	58	58	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	53
16	16	60	60	2.0	0	0	4/4	2	1	1/2		1/2	1		3	45	A2	2	57
16	16	60	60	2.0	0	0	4/4	1	1	1/2		1/2	1		0	72	C5	5	55
16	16	62	62	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		5	47	B2	2	58
16	16	62	62	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	56
17	17	64	64	2.0	0	0	4/4	2	1	1/2		1/2	1		7	49	C#3	3	61
17	17	64	64	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	59
17	17	66	66	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		9	51	D#3	3	62
17	17	66	66	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	60
18	18	68	68	4.0	0	0	4/4	2	1	1		1	1		4	52	E3	3	67
18	18	68	68	1.0	0	0	4/4	1	1	1/4		1/4	1		1	67	G4	4	63
18	18	69	69	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		3	69	A4	4	64
18	18	70	70	1.0	1/2	1/2	4/4	1	1	1/4		1/4	1		5	71	B4	4	65
18	18	71	71	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		0	72	C5	5	66
19	19	72	72	4.0	0	0	4/4	2	1	1		1	1		2	50	D3	3	69
19	19	72	72	4.0	0	0	4/4	1	1	1		1	1		2	74	D5	5	68
20	20	78	78	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		4	52	E3	3	71
20	20	78	78	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	70
21	21	80	80	2.0	0	0	4/4	2	1	1/2		1/2	1		9	51	D#3	3	74
21	21	80	80	2.0	0	0	4/4	1	1	1/2		1/2	1		0	72	C5	5	72
21	21	82	82	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		4	52	E3	3	75
21	21	82	82	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	73
22	22	84	84	2.0	0	0	4/4	2	1	1/2		1/2	1		7	49	C#3	3	78
22	22	84	84	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	76
22	22	86	86	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		2	50	D3	3	79
22	22	86	86	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	77
23	23	88	88	1.0	0	0	4/4	2	1	1/4		1/4	1		5	47	B2	2	81
23	23	88	88	4.0	0	0	4/4	1	1	1		1	1		1	67	G4	4	80
23	23	89	89	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		0	48	C3	3	82
23	23	90	90	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		1	43	G2	2	83
