mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		-1	41	F2	2	1
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		-1	65	F4	4	0
2	2	4	4	2.0	0	0	4/4	2	1	1/2		1/2	1		3	45	A2	2	5
2	2	4	4	2.0	0	0	4/4	1	1	1/2		1/2	1		0	72	C5	5	2
2	2	6	6	0.0	1/2	1/2	4/4	1	1	0	grace4	1/4	1		-2	70	Bb4	4	3
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		0	48	C3	3	6
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	4
3	3	8	8	0.0	0	0	4/4	1	1	0	grace4	1/4	1		1	67	G4	4	7
3	3	8	8	2.0	0	0	4/4	2	1	1/2		1/2	1		2	50	D3	3	10
3	3	8	8	2.0	0	0	4/4	1	1	1/2		1/2	1		-1	65	F4	4	8
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	57	A3	3	11
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		0	72	C5	5	9
4	4	12	12	2.0	0	0	4/4	2	1	1/2		1/2	1		-1	53	F3	3	14
4	4	12	12	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	12
4	4	14	14	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		1	55	G3	3	15
4	4	14	14	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	13
5	5	16	16	4.0	0	0	4/4	2	1	1		1	1		0	48	C3	3	17
5	5	16	16	4.0	0	0	4/4	1	1	1		1	1		0	72	C5	5	16
6	6	22	22	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1	1	3	57	A3	3	19
6	6	22	22	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		0	72	C5	5	18
7	7	24	24	2.0	0	0	4/4	2	1	1/2		1/2	1	-1	3	57	A3	3	22
7	7	24	24	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	20
7	7	26	26	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		1	55	G3	3	23
7	7	26	26	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	76	E5	5	21
8	8	28	28	2.0	0	0	4/4	2	1	1/2		1/2	1		-1	53	F3	3	26
8	8	28	28	2.0	0	0	4/4	1	1	1/2		1/2	1		-1	77	F5	5	24
