mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	4/4	2	1	1/2		1/2	1		1	43	G2	2	2
1	1	0	0	2.0	0	0	4/4	1	1	1/2		1/2	1		1	67	G4	4	0
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		6	42	F#2	2	3
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	1
2	2	4	4	2.0	0	0	4/4	2	1	1/2		1/2	1		1	43	G2	2	6
2	2	4	4	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	4
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		2	50	D3	3	7
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	5
3	3	8	8	2.0	0	0	4/4	2	1	1/2		1/2	1		7	49	C#3	3	10
3	3	8	8	2.0	0	0	4/4	1	1	1/2		1/2	1		1	67	G4	4	8
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		2	50	D3	3	11
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		6	66	F#4	4	9
4	4	12	12	2.0	0	0	4/4	2	1	1/2		1/2	1		1	43	G2	2	13
4	4	12	12	4.0	0	0	4/4	1	1	1		1	1		4	64	E4	4	12
4	4	14	14	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	45	A2	2	14
5	5	16	16	4.0	0	0	4/4	2	1	1		1	1		2	38	D2	2	16
5	5	16	16	4.0	0	0	4/4	1	1	1		1	1		2	62	D4	4	15
6	6	20	20	2.0	0	0	4/4	2	1	1/2		1/2	1		5	47	B2	2	19
6	6	20	20	2.0	0	0	4/4	1	1	1/2		1/2	1		1	67	G4	4	17
6	6	22	22	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		6	42	F#2	2	20
6	6	22	22	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	18
7	7	24	24	2.0	0	0	4/4	2	1	1/2		1/2	1		1	43	G2	2	23
7	7	24	24	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	21
7	7	26	26	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		0	48	C3	3	24
7	7	26	26	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		0	72	C5	5	22
8	8	28	28	2.0	0	0	4/4	2	1	1/2		1/2	1		2	50	D3	3	27
8	8	28	28	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	25
8	8	30	30	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		2	38	D2	2	28
8	8	30	30	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	26
9	9	32	32	4.0	0	0	4/4	2	1	1		1	1		1	43	G2	2	30
9	9	32	32	4.0	0	0	4/4	1	1	1		1	1		1	67	G4	4	29
10	10	36	36	2.0	0	0	4/4	2	1	1/2		1/2	1		4	52	E3	3	33
10	10	36	36	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	31
10	10	38	38	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	57	A3	3	34
10	10	38	38	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		0	72	C5	5	32
11	11	40	40	2.0	0	0	4/4	2	1	1/2		1/2	1		2	50	D3	3	37
11	11	40	40	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	35
11	11	42	42	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		4	52	E3	3	38
11	11	42	42	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		0	72	C5	5	36
11	11	43	43	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		6	54	F#3	3	39
12	12	44	44	2.0	0	0	4/4	2	1	1/2		1/2	1		1	55	G3	3	42
12	12	44	44	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	40
12	12	46	46	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		2	50	D3	3	43
12	12	46	46	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	41
13	13	48	48	4.0	0	0	4/4	2	1	1		1	1		1	55	G3	3	45
13	13	48	48	4.0	0	0	4/4	1	1	1		1	1		5	71	B4	4	44
14	14	52	52	2.0	0	0	4/4	2	1	1/2		1/2	1		1	43	G2	2	48
14	14	52	52	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	46
14	14	54	54	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		5	47	B2	2	49
14	14	54	54	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	47
15	15	56	56	2.0	0	0	4/4	2	1	1/2		1/2	1		0	48	C3	3	52
15	15	56	56	2.0	0	0	4/4	1	1	1/2		1/2	1		4	76	E5	5	50
15	15	58	58	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		2	50	D3	3	53
15	15	58	58	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	51
16	16	60	60	2.0	0	0	4/4	2	1	1/2		1/2	1		4	52	E3	3	56
16	16	60	60	2.0	0	0	4/4	1	1	1/2		1/2	1		0	72	C5	5	54
16	16	62	62	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		2	50	D3	3	57
16	16	62	62	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	55
16	16	63	63	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		7	49	C#3	3	58
17	17	64	64	4.0	0	0	4/4	2	1	1		1	1		2	50	D3	3	60
17	17	64	64	4.0	0	0	4/4	1	1	1		1	1		3	69	A4	4	59
18	18	68	68	2.0	0	0	4/4	2	1	1/2		1/2	1		1	43	G2	2	64
18	18	68	68	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	61
18	18	70	70	0.0	1/2	1/2	4/4	1	1	0	grace4	1/4	1		0	72	C5	5	62
18	18	70	70	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		8	44	G#2	2	65
18	18	70	70	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	63
19	19	72	72	2.0	0	0	4/4	2	1	1/2		1/2	1		3	45	A2	2	68
19	19	72	72	2.0	0	0	4/4	1	1	1/2		1/2	1		0	72	C5	5	66
19	19	74	74	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		5	47	B2	2	69
19	19	74	74	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	67
20	20	76	76	0.0	0	0	4/4	1	1	0	grace4	1/4	1		3	69	A4	4	70
20	20	76	76	2.0	0	0	4/4	2	1	1/2		1/2	1		4	52	E3	3	73
20	20	76	76	2.0	0	0	4/4	1	1	1/2		1/2	1		1	67	G4	4	71
20	20	78	78	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		0	48	C3	3	74
20	20	78	78	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	72
21	21	80	80	2.0	0	0	4/4	2	1	1/2		1/2	1		1	43	G2	2	76
21	21	80	80	4.0	0	0	4/4	1	1	1		1	1		5	71	B4	4	75
21	21	82	82	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		5	47	B2	2	77
22	22	84	84	0.0	0	0	4/4	1	1	0	grace4	1/4	1		3	69	A4	4	78
22	22	84	84	4.0	0	0	4/4	2	1	1		1	1		4	40	E2	2	80
22	22	84	84	4.0	0	0	4/4	1	1	1		1	1		1	67	G4	4	79
23	23	88	88	2.0	0	0	4/4	2	1	1/2		1/2	1		1	55	G3	3	84
23	23	88	88	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	81
23	23	90	90	0.0	1/2	1/2	4/4	1	1	0	grace4	1/4	1		0	72	C5	5	82
23	23	90	90	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		6	54	F#3	3	85
23	23	90	90	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	83
24	24	92	92	2.0	0	0	4/4	2	1	1/2		1/2	1		4	52	E3	3	88
24	24	92	92	2.0	0	0	4/4	1	1	1/2		1/2	1		0	72	C5	5	86
24	24	94	94	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		5	47	B2	2	89
24	24	94	94	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	87
24	24	95	95	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		0	48	C3	3	90
25	25	96	96	2.0	0	0	4/4	2	1	1/2		1/2	1		2	50	D3	3	93
25	25	96	96	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	91
25	25	98	98	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		4	52	E3	3	94
25	25	98	98	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		1	67	G4	4	92
25	25	99	99	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		2	50	D3	3	95
26	26	100	100	1.0	0	0	4/4	2	1	1/4		1/4	1		0	48	C3	3	97
26	26	100	100	4.0	0	0	4/4	1	1	1		1	1		3	69	A4	4	96
26	26	101	101	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		3	45	A2	2	98
26	26	102	102	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		2	50	D3	3	99
27	27	104	104	4.0	0	0	4/4	2	1	1		1	1		1	43	G2	2	101
27	27	104	104	4.0	0	0	4/4	1	1	1		1	1		1	67	G4	4	100
