mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1	1	3	57	A3	3	1
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	0
2	2	4	4	2.0	0	0	4/4	2	1	1/2		1/2	1	-1	3	57	A3	3	4
2	2	4	4	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	2
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		9	51	D#3	3	5
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	3
3	3	8	8	2.0	0	0	4/4	2	1	1/2		1/2	1		4	52	E3	3	8
3	3	8	8	2.0	0	0	4/4	1	1	1/2		1/2	1		8	68	G#4	4	6
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		7	49	C#3	3	9
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	7
4	4	12	12	0.0	0	0	4/4	1	1	0	grace4	1/4	1		8	68	G#4	4	10
4	4	12	12	2.0	0	0	4/4	2	1	1/2		1/2	1		2	50	D3	3	13
4	4	12	12	2.0	0	0	4/4	1	1	1/2		1/2	1		6	66	F#4	4	11
4	4	14	14	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		6	42	F#2	2	14
4	4	14	14	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		6	66	F#4	4	12
5	5	16	16	4.0	0	0	4/4	2	1	1		1	1		8	44	G#2	2	16
5	5	16	16	4.0	0	0	4/4	1	1	1		1	1		4	64	E4	4	15
6	6	22	22	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	45	A2	2	18
6	6	22	22	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	64	E4	4	17
7	7	24	24	2.0	0	0	4/4	2	1	1/2		1/2	1		2	50	D3	3	21
7	7	24	24	2.0	0	0	4/4	1	1	1/2		1/2	1		6	66	F#4	4	19
7	7	26	26	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		5	47	B2	2	22
7	7	26	26	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		8	68	G#4	4	20
8	8	28	28	3.0	0	0	4/4	2	1	3/4		1/2	3/2		6	54	F#3	3	26
8	8	28	28	1.0	0	0	4/4	1	1	1/4		1/4	1		3	69	A4	4	23
8	8	29	29	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		5	71	B4	4	24
8	8	30	30	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		7	73	C#5	5	25
8	8	31	31	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		4	52	E3	3	27
9	9	32	32	1.0	0	0	4/4	2	1	1/4		1/4	1		2	50	D3	3	29
9	9	32	32	4.0	0	0	4/4	1	1	1		1	1		5	71	B4	4	28
9	9	33	33	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		5	47	B2	2	30
9	9	34	34	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		4	52	E3	3	31
10	10	36	36	4.0	0	0	4/4	2	1	1		1	1		3	45	A2	2	33
10	10	36	36	4.0	0	0	4/4	1	1	1		1	1		3	69	A4	4	32
11	11	42	42	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1	1	4	52	E3	3	35
11	11	42	42	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	34
12	12	44	44	2.0	0	0	4/4	2	1	1/2		1/2	1	-1	4	52	E3	3	38
12	12	44	44	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	36
12	12	46	46	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		9	51	D#3	3	39
12	12	46	46	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	37
13	13	48	48	4.0	0	0	4/4	2	1	1		1	1		4	52	E3	3	41
13	13	48	48	4.0	0	0	4/4	1	1	1		1	1		5	71	B4	4	40
14	14	54	54	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		4	52	E3	3	43
14	14	54	54	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	42
15	15	56	56	2.0	0	0	4/4	2	1	1/2		1/2	1		11	53	E#3	3	47
15	15	56	56	2.0	0	0	4/4	1	1	1/2		1/2	1		7	73	C#5	5	44
15	15	58	58	0.0	1/2	1/2	4/4	1	1	0	grace4	1/4	1		5	71	B4	4	45
15	15	58	58	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		6	54	F#3	3	48
15	15	58	58	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	46
15	15	59	59	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		4	52	E3	3	49
16	16	60	60	4.0	0	0	4/4	2	1	1		1	1		9	51	D#3	3	51
16	16	60	60	4.0	0	0	4/4	1	1	1		1	1		5	71	B4	4	50
17	17	66	66	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		4	52	E3	3	53
17	17	66	66	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	64	E4	4	52
18	18	68	68	2.0	0	0	4/4	2	1	1/2		1/2	1		9	51	D#3	3	56
18	18	68	68	2.0	0	0	4/4	1	1	1/2		1/2	1		6	66	F#4	4	54
18	18	70	70	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		2	50	D3	3	57
18	18	70	70	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		8	68	G#4	4	55
19	19	72	72	2.0	0	0	4/4	2	1	1/2		1/2	1		7	49	C#3	3	60
19	19	72	72	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	58
19	19	74	74	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		5	47	B2	2	61
19	19	74	74	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		8	68	G#4	4	59
20	20	76	76	4.0	0	0	4/4	2	1	1		1	1		3	45	A2	2	63
20	20	76	76	4.0	0	0	4/4	1	1	1		1	1		6	66	F#4	4	62
21	21	80	80	4.0	0	0	4/4	2	1	1		1	1		8	44	G#2	2	65
21	21	80	80	4.0	0	0	4/4	1	1	1		1	1		8	68	G#4	4	64
22	22	86	86	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1	1	7	49	C#3	3	67
22	22	86	86	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	64	E4	4	66
23	23	88	88	2.0	0	0	4/4	2	1	1/2		1/2	1	-1	7	49	C#3	3	70
23	23	88	88	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	68
23	23	90	90	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		5	47	B2	2	71
23	23	90	90	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	69
24	24	92	92	2.0	0	0	4/4	2	1	1/2		1/2	1		3	45	A2	2	74
24	24	92	92	2.0	0	0	4/4	1	1	1/2		1/2	1		7	73	C#5	5	72
24	24	94	94	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		1	55	G3	3	75
24	24	94	94	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	76	E5	5	73
25	25	96	96	2.0	0	0	4/4	2	1	1/2		1/2	1		6	54	F#3	3	78
25	25	96	96	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	76
25	25	98	98	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		4	52	E3	3	79
25	25	98	98	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		7	73	C#5	5	77
26	26	100	100	4.0	0	0	4/4	2	1	1		1	1		9	51	D#3	3	81
26	26	100	100	4.0	0	0	4/4	1	1	1		1	1		5	71	B4	4	80
27	27	106	106	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		11	53	E#3	3	83
27	27	106	106	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		7	73	C#5	5	82
28	28	108	108	0.0	0	0	4/4	1	1	0	grace4	1/4	1		5	71	B4	4	84
28	28	108	108	3.0	0	0	4/4	2	1	3/4		1/2	3/2		6	54	F#3	3	87
28	28	108	108	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	85
28	28	110	110	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	86
28	28	111	111	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		6	54	F#3	3	88
29	29	112	112	2.0	0	0	4/4	2	1	1/2		1/2	1		8	56	G#3	3	91
29	29	112	112	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	89
29	29	114	114	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	57	A3	3	92
29	29	114	114	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		7	73	C#5	5	90
30	30	116	116	4.0	0	0	4/4	2	1	1		1	1		4	52	E3	3	94
30	30	116	116	4.0	0	0	4/4	1	1	1		1	1		5	71	B4	4	93
31	31	120	120	4.0	0	0	4/4	2	1	1		1	1		3	45	A2	2	96
31	31	120	120	4.0	0	0	4/4	1	1	1		1	1		3	69	A4	4	95
