mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	45	A2	2	1
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	0
2	2	4	4	2.0	0	0	4/4	2	1	1/2		1/2	1		2	50	D3	3	4
2	2	4	4	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	2
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		7	49	C#3	3	5
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	3
3	3	8	8	2.0	0	0	4/4	2	1	1/2		1/2	1		5	47	B2	2	8
3	3	8	8	2.0	0	0	4/4	1	1	1/2		1/2	1		8	68	G#4	4	6
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	45	A2	2	9
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	7
4	4	12	12	0.0	0	0	4/4	1	1	0	grace4	1/4	1		8	68	G#4	4	10
4	4	12	12	1.0	0	0	4/4	2	1	1/4		1/4	1		2	50	D3	3	13
4	4	12	12	2.0	0	0	4/4	1	1	1/2		1/2	1		6	66	F#4	4	11
4	4	13	13	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		2	38	D2	2	14
4	4	14	14	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1	1	2	50	D3	3	15
4	4	14	14	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		6	66	F#4	4	12
5	5	16	16	4.0	0	0	4/4	2	1	1		1	1	-1	2	50	D3	3	17
5	5	16	16	4.0	0	0	4/4	1	1	1		1	1		4	64	E4	4	16
6	6	22	22	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1	1	7	49	C#3	3	19
6	6	22	22	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	64	E4	4	18
7	7	24	24	2.0	0	0	4/4	2	1	1/2		1/2	1	-1	7	49	C#3	3	22
7	7	24	24	2.0	0	0	4/4	1	1	1/2		1/2	1		6	66	F#4	4	20
7	7	26	26	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		5	47	B2	2	23
7	7	26	26	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		8	68	G#4	4	21
8	8	28	28	2.0	0	0	4/4	2	1	1/2		1/2	1		3	45	A2	2	27
8	8	28	28	1.0	0	0	4/4	1	1	1/4		1/4	1		3	69	A4	4	24
8	8	29	29	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		5	71	B4	4	25
8	8	30	30	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1	1	3	57	A3	3	28
8	8	30	30	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		7	73	C#5	5	26
9	9	32	32	2.0	0	0	4/4	2	1	1/2		1/2	1	-1	3	57	A3	3	30
9	9	32	32	4.0	0	0	4/4	1	1	1		1	1		5	71	B4	4	29
9	9	34	34	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		8	56	G#3	3	31
10	10	36	36	4.0	0	0	4/4	2	1	1		1	1		3	57	A3	3	33
10	10	36	36	4.0	0	0	4/4	1	1	1		1	1		3	69	A4	4	32
11	11	42	42	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	57	A3	3	35
11	11	42	42	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	34
12	12	44	44	2.0	0	0	4/4	2	1	1/2		1/2	1		8	56	G#3	3	38
12	12	44	44	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	36
12	12	46	46	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		9	51	D#3	3	39
12	12	46	46	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	37
13	13	48	48	4.0	0	0	4/4	2	1	1		1	1		4	52	E3	3	41
13	13	48	48	4.0	0	0	4/4	1	1	1		1	1		5	71	B4	4	40
14	14	54	54	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		8	56	G#3	3	43
14	14	54	54	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	42
15	15	56	56	4.0	0	0	4/4	2	1	1		1	1		3	57	A3	3	47
15	15	56	56	2.0	0	0	4/4	1	1	1/2		1/2	1		7	73	C#5	5	44
15	15	58	58	0.0	1/2	1/2	4/4	1	1	0	grace4	1/4	1		5	71	B4	4	45
15	15	58	58	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	46
16	16	60	60	4.0	0	0	4/4	2	1	1		1	1		3	57	A3	3	49
16	16	60	60	4.0	0	0	4/4	1	1	1		1	1		5	71	B4	4	48
17	17	66	66	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		8	56	G#3	3	51
17	17	66	66	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	64	E4	4	50
18	18	68	68	2.0	0	0	4/4	2	1	1/2		1/2	1		3	57	A3	3	54
18	18	68	68	2.0	0	0	4/4	1	1	1/2		1/2	1		6	66	F#4	4	52
18	18	70	70	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		8	56	G#3	3	55
18	18	70	70	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		8	68	G#4	4	53
19	19	72	72	2.0	0	0	4/4	2	1	1/2		1/2	1		6	54	F#3	3	58
19	19	72	72	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	56
19	19	74	74	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1	1	4	52	E3	3	59
19	19	74	74	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		8	68	G#4	4	57
20	20	76	76	2.0	0	0	4/4	2	1	1/2		1/2	1	-1	4	52	E3	3	61
20	20	76	76	4.0	0	0	4/4	1	1	1		1	1		6	66	F#4	4	60
20	20	78	78	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		9	51	D#3	3	62
21	21	80	80	4.0	0	0	4/4	2	1	1		1	1		4	52	E3	3	64
21	21	80	80	4.0	0	0	4/4	1	1	1		1	1		8	68	G#4	4	63
22	22	86	86	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		4	52	E3	3	66
22	22	86	86	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	64	E4	4	65
22	22	87	87	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		2	50	D3	3	67
23	23	88	88	2.0	0	0	4/4	2	1	1/2		1/2	1		7	49	C#3	3	70
23	23	88	88	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	68
23	23	90	90	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		5	47	B2	2	71
23	23	90	90	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	69
24	24	92	92	2.0	0	0	4/4	2	1	1/2		1/2	1		3	45	A2	2	74
24	24	92	92	2.0	0	0	4/4	1	1	1/2		1/2	1		7	73	C#5	5	72
24	24	94	94	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		3	57	A3	3	75
24	24	94	94	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	76	E5	5	73
24	24	95	95	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		1	55	G3	3	76
25	25	96	96	2.0	0	0	4/4	2	1	1/2		1/2	1		6	54	F#3	3	79
25	25	96	96	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	77
25	25	98	98	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		4	52	E3	3	80
25	25	98	98	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		7	73	C#5	5	78
26	26	100	100	4.0	0	0	4/4	2	1	1		1	1		9	51	D#3	3	82
26	26	100	100	4.0	0	0	4/4	1	1	1		1	1		5	71	B4	4	81
27	27	106	106	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		11	53	E#3	3	84
27	27	106	106	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		7	73	C#5	5	83
28	28	108	108	0.0	0	0	4/4	1	1	0	grace4	1/4	1		5	71	B4	4	85
28	28	108	108	3.0	0	0	4/4	2	1	3/4		1/2	3/2		6	54	F#3	3	88
28	28	108	108	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	86
28	28	110	110	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	87
28	28	111	111	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		6	54	F#3	3	89
29	29	112	112	2.0	0	0	4/4	2	1	1/2		1/2	1		8	56	G#3	3	92
29	29	112	112	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	90
29	29	114	114	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		3	57	A3	3	93
29	29	114	114	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		7	73	C#5	5	91
29	29	115	115	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		7	49	C#3	3	94
30	30	116	116	1.0	0	0	4/4	2	1	1/4		1/4	1		2	50	D3	3	96
30	30	116	116	4.0	0	0	4/4	1	1	1		1	1		5	71	B4	4	95
30	30	117	117	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		5	47	B2	2	97
30	30	118	118	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		4	52	E3	3	98
31	31	120	120	4.0	0	0	4/4	2	1	1		1	1		3	45	A2	2	100
31	31	120	120	4.0	0	0	4/4	1	1	1		1	1		3	69	A4	4	99
