mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	4.0	0	0	4/4	2	1	1		1	1	1	0	48	C3	3	2
1	1	0	0	2.0	0	0	4/4	1	1	1/2		1/2	1		1	67	G4	4	0
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	64	E4	4	1
2	2	4	4	4.0	0	0	4/4	2	1	1		1	1	0	0	48	C3	3	5
2	2	4	4	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	3
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	4
3	3	8	8	2.0	0	0	4/4	2	1	1/2		1/2	1	-1	0	48	C3	3	8
3	3	8	8	2.0	0	0	4/4	1	1	1/2		1/2	1		0	72	C5	5	6
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		2	50	D3	3	9
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		0	72	C5	5	7
4	4	12	12	4.0	0	0	4/4	2	1	1		1	1		1	43	G2	2	11
4	4	12	12	4.0	0	0	4/4	1	1	1		1	1		5	71	B4	4	10
5	5	16	16	2.0	0	0	4/4	2	1	1/2		1/2	1		2	50	D3	3	15
5	5	16	16	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	12
5	5	18	18	0.0	1/2	1/2	4/4	1	1	0	grace4	1/4	1		5	71	B4	4	13
5	5	18	18	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	45	A2	2	16
5	5	18	18	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		0	72	C5	5	14
6	6	20	20	2.0	0	0	4/4	2	1	1/2		1/2	1		5	47	B2	2	20
6	6	20	20	2.0	0	0	4/4	1	1	1/2		1/2	1		1	67	G4	4	17
6	6	22	22	0.0	1/2	1/2	4/4	1	1	0	grace4	1/4	1		-1	65	F4	4	18
6	6	22	22	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		0	48	C3	3	21
6	6	22	22	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	64	E4	4	19
6	6	23	23	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		-2	46	Bb2	2	22
7	7	24	24	1.0	0	0	4/4	2	1	1/4		1/4	1		3	45	A2	2	25
7	7	24	24	2.0	0	0	4/4	1	1	1/2		1/2	1		-1	65	F4	4	23
7	7	25	25	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		-1	41	F2	2	26
7	7	26	26	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		0	48	C3	3	27
7	7	26	26	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	64	E4	4	24
8	8	28	28	4.0	0	0	4/4	2	1	1		1	1		1	43	G2	2	29
8	8	28	28	4.0	0	0	4/4	1	1	1		1	1		2	62	D4	4	28
9	9	32	32	4.0	0	0	4/4	2	1	1		1	1		0	48	C3	3	31
9	9	32	32	4.0	0	0	4/4	1	1	1		1	1		0	60	C4	4	30
10	10	36	36	2.0	0	0	4/4	2	1	1/2		1/2	1		3	45	A2	2	34
10	10	36	36	2.0	0	0	4/4	1	1	1/2		1/2	1		4	64	E4	4	32
10	10	38	38	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		2	50	D3	3	35
10	10	38	38	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		6	66	F#4	4	33
11	11	40	40	2.0	0	0	4/4	2	1	1/2		1/2	1		4	52	E3	3	38
11	11	40	40	2.0	0	0	4/4	1	1	1/2		1/2	1		8	68	G#4	4	36
11	11	42	42	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		-1	53	F3	3	39
11	11	42	42	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	37
12	12	44	44	2.0	0	0	4/4	2	1	1/2		1/2	1		2	50	D3	3	42
12	12	44	44	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	40
12	12	46	46	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		4	52	E3	3	43
12	12	46	46	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		8	68	G#4	4	41
13	13	48	48	4.0	0	0	4/4	2	1	1		1	1		3	45	A2	2	45
13	13	48	48	4.0	0	0	4/4	1	1	1		1	1		3	69	A4	4	44
14	14	52	52	2.0	0	0	4/4	2	1	1/2		1/2	1		2	50	D3	3	48
14	14	52	52	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	46
14	14	54	54	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		0	48	C3	3	49
14	14	54	54	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		0	72	C5	5	47
15	15	56	56	2.0	0	0	4/4	2	1	1/2		1/2	1		5	47	B2	2	52
15	15	56	56	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	50
15	15	58	58	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		0	48	C3	3	53
15	15	58	58	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	76	E5	5	51
16	16	60	60	2.0	0	0	4/4	2	1	1/2		1/2	1		-1	53	F3	3	56
16	16	60	60	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	54
16	16	62	62	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		1	55	G3	3	57
16	16	62	62	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	55
16	16	63	63	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		-1	53	F3	3	58
17	17	64	64	1.0	0	0	4/4	2	1	1/4		1/4	1		4	52	E3	3	60
17	17	64	64	4.0	0	0	4/4	1	1	1		1	1	1	0	72	C5	5	59
17	17	65	65	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		-1	53	F3	3	61
17	17	66	66	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1	1	0	48	C3	3	62
18	18	68	68	2.0	0	0	4/4	2	1	1/2		1/2	1	-1	0	48	C3	3	64
18	18	68	68	2.0	0	0	4/4	1	1	1/2		1/2	1	-1	0	72	C5	5	63
