mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		1	67	G4	4	0
2	2	4	4	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	1
2	2	6	6	0.0	1/2	1/2	4/4	1	1	0	grace4	1/4	1		0	72	C5	5	2
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		1	43	G2	2	4
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	3
3	3	8	8	0.0	0	0	4/4	1	1	0	grace4	1/4	1		0	72	C5	5	5
3	3	8	8	2.0	0	0	4/4	2	1	1/2		1/2	1		5	47	B2	2	8
3	3	8	8	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	6
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		2	50	D3	3	9
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	7
4	4	12	12	2.0	0	0	4/4	2	1	1/2		1/2	1		5	47	B2	2	12
4	4	12	12	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	10
4	4	14	14	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	45	A2	2	13
4	4	14	14	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		7	73	C#5	5	11
5	5	16	16	4.0	0	0	4/4	2	1	1		1	1		2	50	D3	3	15
5	5	16	16	4.0	0	0	4/4	1	1	1		1	1		2	74	D5	5	14
6	6	22	22	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	76	E5	5	16
7	7	24	24	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	17
7	7	26	26	0.0	1/2	1/2	4/4	1	1	0	grace4	1/4	1		0	72	C5	5	18
7	7	26	26	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		4	52	E3	3	20
7	7	26	26	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	19
8	8	28	28	2.0	0	0	4/4	2	1	1/2		1/2	1		0	48	C3	3	23
8	8	28	28	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	21
8	8	30	30	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		7	49	C#3	3	24
8	8	30	30	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		1	67	G4	4	22
9	9	32	32	2.0	0	0	4/4	2	1	1/2		1/2	1		2	50	D3	3	27
9	9	32	32	2.0	0	0	4/4	1	1	1/2		1/2	1		1	67	G4	4	25
9	9	34	34	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		2	38	D2	2	28
9	9	34	34	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		6	66	F#4	4	26
10	10	36	36	4.0	0	0	4/4	2	1	1		1	1		1	43	G2	2	30
10	10	36	36	4.0	0	0	4/4	1	1	1		1	1		1	67	G4	4	29
11	11	42	42	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	31
12	12	44	44	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	32
12	12	46	46	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		2	50	D3	3	34
12	12	46	46	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	33
13	13	48	48	2.0	0	0	4/4	2	1	1/2		1/2	1		4	52	E3	3	37
13	13	48	48	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	35
13	13	50	50	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		2	50	D3	3	38
13	13	50	50	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	36
14	14	52	52	2.0	0	0	4/4	2	1	1/2		1/2	1		1	55	G3	3	41
14	14	52	52	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	39
14	14	54	54	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	57	A3	3	42
14	14	54	54	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		7	73	C#5	5	40
15	15	56	56	4.0	0	0	4/4	2	1	1		1	1		2	50	D3	3	44
15	15	56	56	4.0	0	0	4/4	1	1	1		1	1		2	74	D5	5	43
16	16	62	62	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	45
17	17	64	64	2.0	0	0	4/4	1	1	1/2		1/2	1		0	72	C5	5	46
17	17	66	66	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		5	47	B2	2	48
17	17	66	66	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	47
18	18	68	68	2.0	0	0	4/4	2	1	1/2		1/2	1		0	48	C3	3	51
18	18	68	68	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	49
18	18	70	70	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		5	47	B2	2	52
18	18	70	70	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		1	67	G4	4	50
19	19	72	72	2.0	0	0	4/4	2	1	1/2		1/2	1		3	45	A2	2	55
19	19	72	72	2.0	0	0	4/4	1	1	1/2		1/2	1		1	67	G4	4	53
19	19	74	74	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		2	50	D3	3	56
19	19	74	74	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		6	66	F#4	4	54
20	20	76	76	4.0	0	0	4/4	2	1	1		1	1		1	43	G2	2	58
20	20	76	76	4.0	0	0	4/4	1	1	1		1	1		1	67	G4	4	57
