mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	57	A3	3	1
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		0	72	C5	5	0
2	2	4	4	2.0	0	0	4/4	2	1	1/2		1/2	1		1	55	G3	3	4
2	2	4	4	2.0	0	0	4/4	1	1	1/2		1/2	1		0	72	C5	5	2
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		-1	53	F3	3	5
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		0	72	C5	5	3
3	3	8	8	1.0	0	0	4/4	2	1	1/4		1/4	1		-2	58	Bb3	3	8
3	3	8	8	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	6
3	3	9	9	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		3	57	A3	3	9
3	3	10	10	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		1	55	G3	3	10
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	7
3	3	11	11	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		-1	53	F3	3	11
4	4	12	12	4.0	0	0	4/4	2	1	1		1	1		4	52	E3	3	13
4	4	12	12	4.0	0	0	4/4	1	1	1		1	1		0	72	C5	5	12
5	5	18	18	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1	1	-1	53	F3	3	15
5	5	18	18	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	14
6	6	20	20	1.0	0	0	4/4	2	1	1/4		1/4	1	-1	-1	53	F3	3	18
6	6	20	20	2.0	0	0	4/4	1	1	1/2		1/2	1		-2	70	Bb4	4	16
6	6	21	21	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		4	52	E3	3	19
6	6	22	22	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		-1	53	F3	3	20
6	6	22	22	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	17
