mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	staff_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	0						
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6			
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	1						
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	2						
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	3						
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	4						
2	2	4	4	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	5						
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	6						
2	2	4	4	0.0	0	0	FiguredBass	4/4	2	1	0						3/4	6	4		
2	2	4	4	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	7						
2	2	6	6	0.0	1/2	1/2	StaffText	4/4	2	1	0					"<font size=""11.9962""/>/"					
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	8						
3	3	8	8	0.0	0	0	FiguredBass	4/4	1	1	0						1	6	5		
3	3	8	8	4.0	0	0	Chord	4/4	1	1	1		1	1	9						
3	3	8	8	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	7			
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	10						0
3	3	9	9	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	7			
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	11						
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/4	#3	8		
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	12						
4	4	12	12	4.0	0	0	Chord	4/4	1	1	1		1	1	13						
4	4	12	12	4.0	0	0	Chord	4/4	2	1	1		1	1	14						
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	15						
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6__			
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	16						
5	5	16	16	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	_			
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	17						
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	18						
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	19						
6	6	20	20	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	h			
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	20						
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	4__	2__		
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	21						
6	6	20	20	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	_	_		
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	22						
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	23						
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	24						
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	25						
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	26						
7	7	24	24	0.0	0	0	FiguredBass	4/4	1	1	0						1	6__			
7	7	24	24	4.0	0	0	Chord	4/4	1	1	1		1	1	27						
7	7	24	24	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	_			
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	28						
7	7	25	25	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	6			
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	29						
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/4	6			
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	30						
7	7	27	27	0.0	3/4	3/4	FiguredBass	4/4	2	1	0						1/4	7			
8	8	28	28	0.0	0	0	FiguredBass	4/4	1	1	0						1	#			
8	8	28	28	4.0	0	0	Chord	4/4	1	1	1		1	1	31						
8	8	28	28	4.0	0	0	Chord	4/4	2	1	1		1	1	32						
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	33						
9	9	34	34	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	34						
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	35						
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	36						
9	9	34	34	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	37						
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	38						
9	9	35	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	39						
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	40						
10	10	36	36	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6__	5__		
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	41						
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	_	_		
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	42						
10	10	40	40	0.0	1	1	FiguredBass	4/4	1	1	0						1/2	#3	8		
10	10	36	36	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	7			
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	43						
10	10	37	37	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	7			
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	44						
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	45						
11	11	40	40	0.0	0	0	FiguredBass	4/4	1	1	0						1	8	3		
11	11	40	40	4.0	0	0	Chord	4/4	1	1	1		1	1	46						
11	11	40	40	4.0	0	0	Chord	4/4	2	1	1		1	1	47						
12	12	44	44	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6__	3__		
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	48						
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2		_		
