mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	0						
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	1						0
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	2	d					
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	3						
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6	5		
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	4						
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	5						1
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	6	d					
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	7						2
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	8						
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	9						
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6			
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	10						
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	11						3
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	12						
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	13						4
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	14						
4	4	12	12	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	9			
4	4	12	12	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	15						
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	16						
4	4	14	14	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6			
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	17						
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	18						5
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	19						
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	20						6
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	21						
5	5	16	16	0.0	0	0	FiguredBass	4/4	1	1	0						1	4			
5	5	16	16	4.0	0	0	Chord	4/4	1	1	1		1	1	22						
5	5	16	16	0.0	0	0	FiguredBass	4/4	2	1	0						1	3			
5	5	16	16	4.0	0	0	Chord	4/4	2	1	1		1	1	23						
5	5	20	20	0.0	1	1	FiguredBass	4/4	2	1	0						1	3			
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	3	1		
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	24						
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	25						
7	7	24	24	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	9	7	4	
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	26						
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	4	2		
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	27						
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	28						7
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	29						7
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	30						
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	31						8
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	32						8
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	33						
8	8	28	28	0.0	0	0	FiguredBass	4/4	1	1	0						1/4	6			
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	34						
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	35						
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	3	5		
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	36						
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	37						9
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	38						
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	39						
9	9	32	32	0.0	0	0	FiguredBass	4/4	1	1	0						1	4	2		
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1		1	1	40						
9	9	32	32	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	5			
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	41						
9	9	34	34	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/2	5			
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	42						
9	9	36	36	0.0	1	1	FiguredBass	4/4	2	1	0						1/2	6			
10	10	36	36	4.0	0	0	Chord	4/4	1	1	1		1	1	43						
10	10	36	36	4.0	0	0	Chord	4/4	2	1	1		1	1	44						
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	45						
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	46						
12	12	44	44	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	8__	5	#	
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	47						
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2		6__	4__	
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	48						
