mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	staff_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	6			
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	0							
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	1							
2	2	4	4	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	5	3__		
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	2							
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	1	1	0								6__			
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	1	1	0								6__			
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	1	1	0								_	_		
2	2	6	6	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	3							
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	4							
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	5							
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	6							
3	3	8	8	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	5	3		
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	7							
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	4	2		
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	8							
3	3	8	8	4.0	0	0	Chord	4/4	2	1	1		1	1	9							
4	4	12	12	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	6			
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	10							
4	4	14	14	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	5			
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	11							
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	12							
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	13							
5	5	16	16	4.0	0	0	Chord	4/4	1	1	1		1	1	14							
5	5	16	16	4.0	0	0	Chord	4/4	2	1	1		1	1	15							
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	16							
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	17							
7	7	24	24	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	18							
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	19							
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	20							
7	7	24	24	4.0	0	0	Chord	4/4	2	1	1		1	1	21							
8	8	28	28	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	6			
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	22							
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	1	1	0								6	5		
8	8	30	30	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	23							
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	24							
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	25							
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	26							
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	27							0
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	28							
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	29							
9	9	32	32	4.0	0	0	Chord	4/4	2	1	1		1	1	30	548						
10	10	36	36	0.0	0	0	FiguredBass	4/4	1	1	0							1	8	3		
10	10	36	36	4.0	0	0	Chord	4/4	1	1	1		1	1	31							
10	10	36	36	4.0	0	0	Chord	4/4	2	1	1		1	1	32							
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	33							
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	34							
12	12	44	44	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	6	5		
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	35							
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	6	5h		
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	36							
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	37							
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	38							
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	39							
13	13	50	50	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	4	h		
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	40							
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	41							
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	42							
14	14	52	52	0.0	0	0	FiguredBass	4/4	1	1	0							1/4	6			
14	14	52	52	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	43							1
14	14	53	53	0.0	1/4	1/4	FiguredBass	4/4	1	1	0							1/4	6			
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	44							
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	5			
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	45							
14	14	52	52	0.0	0	0	FiguredBass	4/4	2	1	0							1/4	6			
14	14	52	52	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	46							2
14	14	53	53	0.0	1/4	1/4	FiguredBass	4/4	2	1	0							1/4	5			
14	14	53	53	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	47							
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	2	1	0							1/4	5			
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	48							
15	15	56	56	0.0	0	0	FiguredBass	4/4	1	1	0							1	4	2		
15	15	56	56	4.0	0	0	Chord	4/4	1	1	1		1	1	49							
15	15	56	56	4.0	0	0	Chord	4/4	2	1	1		1	1	50							
16	16	62	62	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	6	4	3	
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	51							
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	52							
17	17	64	64	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	53							
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	6			
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	54							
17	17	64	64	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	55							
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	56							
18	18	68	68	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	57							
18	18	70	70	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	5	3		
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	58							
18	18	68	68	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	59							3
18	18	69	69	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	60							
18	18	70	70	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	61							4
18	18	71	71	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	62							
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	63							
19	19	74	74	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	6			
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	64							
19	19	72	72	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	65							
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	66							
20	20	76	76	0.0	0	0	FiguredBass	4/4	1	1	0							1	4			
20	20	76	76	4.0	0	0	Chord	4/4	1	1	1		1	1	67							
20	20	76	76	0.0	0	0	FiguredBass	4/4	2	1	0							1	#			
20	20	76	76	4.0	0	0	Chord	4/4	2	1	1		1	1	68							
20	20	80	80	0.0	1	1	FiguredBass	4/4	2	1	0							1	#			
21	21	82	82	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	3	5		
21	21	82	82	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	69							
21	21	80	80	0.0	0	0	FiguredBass	4/4	2	1	0							1/2	4			
21	21	82	82	0.0	1/2	1/2	FiguredBass	4/4	2	1	0							1/2	4			
21	21	82	82	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	70							
22	22	84	84	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	5	3		
22	22	84	84	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	71							
22	22	84	84	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	72							
22	22	86	86	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	73							
22	22	84	84	0.0	0	0	FiguredBass	4/4	2	1	0							1/4	4	h		
22	22	84	84	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	74							
