mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	41											
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	42											
13	13	48	48	4.0	0	0	Chord	4/4	1	1	1		1	1	43											
13	13	48	48	0.0	0	0	FiguredBass	4/4	2	1	0											1/2	6__			
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	44											
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	45											3
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	46											
14	14	52	52	0.0	0	0	FiguredBass	4/4	1	1	0											1	_			
14	14	52	52	4.0	0	0	Chord	4/4	1	1	1		1	1	47											
14	14	56	56	0.0	1	1	FiguredBass	4/4	1	1	0											1	4			
14	14	52	52	0.0	0	0	FiguredBass	4/4	2	1	0											1	3			
14	14	52	52	4.0	0	0	Chord	4/4	2	1	1		1	1	48											
14	14	56	56	0.0	1	1	FiguredBass	4/4	2	1	0											1	3			
15	15	58	58	0.0	1/2	1/2	FiguredBass	4/4	1	1	0											1/2	6			
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	49											
15	15	58	58	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	50											
16	16	60	60	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	51											
16	16	62	62	0.0	1/2	1/2	FiguredBass	4/4	1	1	0											1/2	6	5		
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	52											
16	16	60	60	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	53											
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	54											
17	17	64	64	0.0	0	0	FiguredBass	4/4	1	1	0											1/2	6			
