mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
15	15	56	56	4.0	0	0	Chord	4/4	2	1	1		1	1	58						
15	15	60	60	0.0	1	1	FiguredBass	4/4	2	1	0						1	3			
16	16	62	62	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	5	3		
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	59						
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	60						
17	17	64	64	0.0	0	0	FiguredBass	4/4	1	1	0						1/2		8	3__	
17	17	64	64	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	61						
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	1	1	0								7__		
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	1	1	0								7__		
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2		_	_	
17	17	66	66	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	62						
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	63						
17	17	68	68	0.0	1	1	FiguredBass	4/4	1	1	0						1/2	6	4	h	
17	17	64	64	4.0	0	0	Chord	4/4	2	1	1		1	1	64						
18	18	68	68	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
18	18	68	68	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	65						
18	18	70	70	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6			
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	66						
18	18	68	68	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	6			
18	18	68	68	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	67						
18	18	70	70	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	68						8
18	18	71	71	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	69						
19	19	72	72	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6	4		
19	19	72	72	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	70						
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	71						
19	19	74	74	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	7	5		
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	72						
19	19	72	72	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	73	articAccentAbove					
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	74						
20	20	76	76	0.0	0	0	FiguredBass	4/4	1	1	0						1	5			
20	20	76	76	4.0	0	0	Chord	4/4	1	1	1		1	1	75						
20	20	76	76	0.0	0	0	FiguredBass	4/4	2	1	0						3/4	6__			
20	20	76	76	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	76						
20	20	79	79	0.0	3/4	3/4	FiguredBass	4/4	2	1	0						3/4	6__			
20	20	79	79	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	77	articAccentAbove					
20	20	82	82	0.0	3/2	3/2	FiguredBass	4/4	2	1	0						3/4	_			
21	21	80	80	0.0	0	0	FiguredBass	4/4	1	1	0						1	6	4		
21	21	80	80	4.0	0	0	Chord	4/4	1	1	1		1	1	78						
21	21	80	80	0.0	0	0	FiguredBass	4/4	2	1	0						1	5	3		
21	21	80	80	4.0	0	0	Chord	4/4	2	1	1		1	1	79						
21	21	84	84	0.0	1	1	FiguredBass	4/4	2	1	0						1	5	3		
