mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	0				
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	1				
2	2	4	4	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6		
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	2				
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	3				
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	4				
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	5				
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	6				
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	7				
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	8				
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	9				
4	4	12	12	0.0	0	0	FiguredBass	4/4	1	1	0					1	4		
4	4	12	12	4.0	0	0	Chord	4/4	1	1	1		1	1	10				
4	4	12	12	0.0	0	0	FiguredBass	4/4	2	1	0					1	3		
4	4	12	12	4.0	0	0	Chord	4/4	2	1	1		1	1	11				
4	4	16	16	0.0	1	1	FiguredBass	4/4	2	1	0					1	3		
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	4	2	
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	12				
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	13				
6	6	20	20	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6		
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	14				
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	15				
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	16				
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	17				
7	7	24	24	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	8		
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	18				
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	7		
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	19				
7	7	28	28	0.0	1	1	FiguredBass	4/4	1	1	0					1/2	7		
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	20				
