mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
20	20	76	76	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	69						
20	20	78	78	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	70						
21	21	80	80	0.0	0	0	FiguredBass	4/4	1	1	0						1	6			
21	21	80	80	4.0	0	0	Chord	4/4	1	1	1		1	1	71						
21	21	80	80	4.0	0	0	Chord	4/4	2	1	1		1	1	72						
22	22	86	86	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6	4		
22	22	86	86	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	73						
22	22	86	86	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	74						
23	23	88	88	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
23	23	88	88	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	75						
23	23	90	90	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	4	2		
23	23	90	90	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	76						
23	23	92	92	0.0	1	1	FiguredBass	4/4	1	1	0						1/2	6			
23	23	88	88	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	77						
23	23	90	90	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	78						
24	24	92	92	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	7			
24	24	92	92	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	79						
24	24	94	94	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	7			
24	24	94	94	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	80						
24	24	92	92	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	81						
24	24	94	94	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	82						
25	25	96	96	0.0	0	0	FiguredBass	4/4	1	1	0						1	8__	4		
25	25	96	96	4.0	0	0	Chord	4/4	1	1	1		1	1	83						
25	25	96	96	0.0	0	0	FiguredBass	4/4	2	1	0						1	_	_		
25	25	96	96	4.0	0	0	Chord	4/4	2	1	1		1	1	84						
25	25	100	100	0.0	1	1	FiguredBass	4/4	2	1	0						1	3			
25	25	104	104	0.0	2	2	FiguredBass	4/4	2	1	0						1	3			
