mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	35							
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	36							
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	37							
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1	1	1	38							
9	9	32	32	4.0	0	0	Chord	4/4	2	1	1	1	1	39							
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	40							
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	5	3		
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	41							
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	42							
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	43							
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	44							
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	45							
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	46							
11	11	40	40	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	47							
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	4	2		
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	48							
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	49							2
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	50							
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	51							3
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	52							
12	12	44	44	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	53							
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6__	4__		
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	54							
12	12	44	44	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	_	_		
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	55							4
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	56							
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	57							5
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	58							
13	13	48	48	0.0	0	0	FiguredBass	4/4	1	1	0						1	6	5		
13	13	48	48	4.0	0	0	Chord	4/4	1	1	1	1	1	59							
13	13	48	48	4.0	0	0	Chord	4/4	2	1	1	1	1	60							
14	14	52	52	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	3	5		
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	61							
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	4__	2__		
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	62							
14	14	52	52	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	_	_		
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	63							
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	64							6
14	14	55	55	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	65							6
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	66							
15	15	56	56	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6__			
15	15	56	56	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	67							
15	15	58	58	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	_			
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	68							
15	15	60	60	0.0	1	1	FiguredBass	4/4	1	1	0						1/2		6__	5__	
15	15	56	56	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	69	articStaccatissimoAbove						7
15	15	57	57	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	70	articStaccatissimoAbove						
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	71	articStaccatissimoAbove						
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	72	articStaccatissimoAbove						
16	16	60	60	0.0	0	0	FiguredBass	4/4	1	1	0						1/2		_	_	
16	16	60	60	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	73							
16	16	62	62	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6	4	8	
16	16	62	62	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	5	3	7	
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	74							
16	16	60	60	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	75							
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	76							
17	17	64	64	0.0	0	0	FiguredBass	4/4	1	1	0						1	8	3		
17	17	64	64	4.0	0	0	Chord	4/4	1	1	1	1	1	77							
17	17	64	64	4.0	0	0	Chord	4/4	2	1	1	1	1	78							
